texto,sentimiento,likes,shares,fecha
"Me encanta este producto, excelente calidad",Positivo,12,1,2023-01-16 15:00:00
"Servicio terrible, muy decepcionado",Negativo,12,4,2023-01-16 16:00:00
"Producto regular, nada especial",Negativo,12,2,2023-01-16 17:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,9,1,2023-01-16 18:00:00
No vale la pena el precio,Neutral,12,4,2023-01-16 19:00:00
"Me encanta este producto, excelente calidad",Positivo,7,3,2023-01-16 20:00:00
"Servicio terrible, muy decepcionado",Neutral,5,2,2023-01-16 21:00:00
"Producto regular, nada especial",Negativo,12,2,2023-01-16 22:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,11,1,2023-01-16 23:00:00
No vale la pena el precio,Negativo,9,2,2023-01-17 00:00:00
"Me encanta este producto, excelente calidad",Negativo,12,4,2023-01-17 01:00:00
"Servicio terrible, muy decepcionado",Positivo,12,4,2023-01-17 02:00:00
"Producto regular, nada especial",Negativo,8,6,2023-01-17 03:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,10,1,2023-01-17 04:00:00
No vale la pena el precio,Negativo,10,4,2023-01-17 05:00:00
"Me encanta este producto, excelente calidad",Positivo,16,0,2023-01-17 06:00:00
"Servicio terrible, muy decepcionado",Neutral,11,2,2023-01-17 07:00:00
"Producto regular, nada especial",Negativo,7,2,2023-01-17 08:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,11,2,2023-01-17 09:00:00
No vale la pena el precio,Negativo,6,1,2023-01-17 10:00:00
"Me encanta este producto, excelente calidad",Neutral,8,3,2023-01-17 11:00:00
"Servicio terrible, muy decepcionado",Neutral,8,5,2023-01-17 12:00:00
"Producto regular, nada especial",Negativo,14,1,2023-01-17 13:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,3,2,2023-01-17 14:00:00
No vale la pena el precio,Positivo,9,5,2023-01-17 15:00:00
"Me encanta este producto, excelente calidad",Negativo,10,2,2023-01-17 16:00:00
"Servicio terrible, muy decepcionado",Neutral,11,2,2023-01-17 17:00:00
"Producto regular, nada especial",Neutral,9,4,2023-01-17 18:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,12,2,2023-01-17 19:00:00
No vale la pena el precio,Neutral,8,2,2023-01-17 20:00:00
"Me encanta este producto, excelente calidad",Positivo,5,3,2023-01-17 21:00:00
"Servicio terrible, muy decepcionado",Neutral,9,4,2023-01-17 22:00:00
"Producto regular, nada especial",Positivo,14,4,2023-01-17 23:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,10,4,2023-01-18 00:00:00
No vale la pena el precio,Positivo,12,5,2023-01-18 01:00:00
"Me encanta este producto, excelente calidad",Negativo,14,2,2023-01-18 02:00:00
"Servicio terrible, muy decepcionado",Positivo,9,0,2023-01-18 03:00:00
"Producto regular, nada especial",Positivo,10,3,2023-01-18 04:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,11,3,2023-01-18 05:00:00
No vale la pena el precio,Positivo,10,2,2023-01-18 06:00:00
"Me encanta este producto, excelente calidad",Negativo,8,3,2023-01-18 07:00:00
"Servicio terrible, muy decepcionado",Negativo,9,5,2023-01-18 08:00:00
"Producto regular, nada especial",Positivo,7,1,2023-01-18 09:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,7,2,2023-01-18 10:00:00
No vale la pena el precio,Neutral,7,4,2023-01-18 11:00:00
"Me encanta este producto, excelente calidad",Neutral,11,2,2023-01-18 12:00:00
"Servicio terrible, muy decepcionado",Positivo,20,0,2023-01-18 13:00:00
"Producto regular, nada especial",Neutral,8,5,2023-01-18 14:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,15,0,2023-01-18 15:00:00
No vale la pena el precio,Positivo,10,2,2023-01-18 16:00:00
"Me encanta este producto, excelente calidad",Positivo,9,3,2023-01-18 17:00:00
"Servicio terrible, muy decepcionado",Neutral,3,2,2023-01-18 18:00:00
"Producto regular, nada especial",Positivo,10,6,2023-01-18 19:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,15,5,2023-01-18 20:00:00
No vale la pena el precio,Positivo,13,3,2023-01-18 21:00:00
"Me encanta este producto, excelente calidad",Neutral,9,4,2023-01-18 22:00:00
"Servicio terrible, muy decepcionado",Negativo,9,5,2023-01-18 23:00:00
"Producto regular, nada especial",Positivo,10,2,2023-01-19 00:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,9,2,2023-01-19 01:00:00
No vale la pena el precio,Negativo,10,4,2023-01-19 02:00:00
"Me encanta este producto, excelente calidad",Negativo,14,4,2023-01-19 03:00:00
"Servicio terrible, muy decepcionado",Positivo,7,7,2023-01-19 04:00:00
"Producto regular, nada especial",Neutral,13,6,2023-01-19 05:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,13,4,2023-01-19 06:00:00
No vale la pena el precio,Negativo,10,3,2023-01-19 07:00:00
"Me encanta este producto, excelente calidad",Positivo,9,5,2023-01-19 08:00:00
"Servicio terrible, muy decepcionado",Positivo,3,2,2023-01-19 09:00:00
"Producto regular, nada especial",Positivo,7,6,2023-01-19 10:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,6,2,2023-01-19 11:00:00
No vale la pena el precio,Positivo,9,6,2023-01-19 12:00:00
"Me encanta este producto, excelente calidad",Neutral,12,3,2023-01-19 13:00:00
"Servicio terrible, muy decepcionado",Positivo,13,2,2023-01-19 14:00:00
"Producto regular, nada especial",Negativo,8,5,2023-01-19 15:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,6,3,2023-01-19 16:00:00
No vale la pena el precio,Negativo,11,2,2023-01-19 17:00:00
"Me encanta este producto, excelente calidad",Neutral,10,2,2023-01-19 18:00:00
"Servicio terrible, muy decepcionado",Negativo,6,1,2023-01-19 19:00:00
"Producto regular, nada especial",Positivo,6,4,2023-01-19 20:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,4,2,2023-01-19 21:00:00
No vale la pena el precio,Positivo,10,3,2023-01-19 22:00:00
"Me encanta este producto, excelente calidad",Negativo,14,2,2023-01-19 23:00:00
"Servicio terrible, muy decepcionado",Neutral,8,3,2023-01-20 00:00:00
"Producto regular, nada especial",Positivo,10,2,2023-01-20 01:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,11,0,2023-01-20 02:00:00
No vale la pena el precio,Negativo,15,2,2023-01-20 03:00:00
"Me encanta este producto, excelente calidad",Neutral,12,3,2023-01-20 04:00:00
"Servicio terrible, muy decepcionado",Neutral,7,1,2023-01-20 05:00:00
"Producto regular, nada especial",Negativo,7,2,2023-01-20 06:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,9,3,2023-01-20 07:00:00
No vale la pena el precio,Neutral,7,1,2023-01-20 08:00:00
"Me encanta este producto, excelente calidad",Positivo,8,4,2023-01-20 09:00:00
"Servicio terrible, muy decepcionado",Positivo,8,1,2023-01-20 10:00:00
"Producto regular, nada especial",Neutral,9,5,2023-01-20 11:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,12,1,2023-01-20 12:00:00
No vale la pena el precio,Neutral,15,1,2023-01-20 13:00:00
"Me encanta este producto, excelente calidad",Negativo,9,5,2023-01-20 14:00:00
"Servicio terrible, muy decepcionado",Positivo,7,0,2023-01-20 15:00:00
"Producto regular, nada especial",Negativo,9,2,2023-01-20 16:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,7,2,2023-01-20 17:00:00
No vale la pena el precio,Positivo,13,4,2023-01-20 18:00:00
"Me encanta este producto, excelente calidad",Neutral,11,2,2023-01-20 19:00:00
"Servicio terrible, muy decepcionado",Positivo,15,4,2023-01-20 20:00:00
"Producto regular, nada especial",Neutral,9,5,2023-01-20 21:00:00
¡Increíble! Lo recomiendo totalmente,Negativo,9,2,2023-01-20 22:00:00
No vale la pena el precio,Negativo,7,3,2023-01-20 23:00:00
"Me encanta este producto, excelente calidad",Positivo,13,4,2023-01-21 00:00:00
"Servicio terrible, muy decepcionado",Positivo,11,5,2023-01-21 01:00:00
"Producto regular, nada especial",Positivo,5,2,2023-01-21 02:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,14,4,2023-01-21 03:00:00
No vale la pena el precio,Neutral,8,4,2023-01-21 04:00:00
"Me encanta este producto, excelente calidad",Negativo,12,2,2023-01-21 05:00:00
"Servicio terrible, muy decepcionado",Positivo,5,3,2023-01-21 06:00:00
"Producto regular, nada especial",Neutral,6,0,2023-01-21 07:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,9,7,2023-01-21 08:00:00
No vale la pena el precio,Positivo,7,0,2023-01-21 09:00:00
"Me encanta este producto, excelente calidad",Negativo,10,0,2023-01-21 10:00:00
"Servicio terrible, muy decepcionado",Neutral,8,1,2023-01-21 11:00:00
"Producto regular, nada especial",Positivo,11,1,2023-01-21 12:00:00
¡Increíble! Lo recomiendo totalmente,Positivo,9,0,2023-01-21 13:00:00
No vale la pena el precio,Neutral,7,1,2023-01-21 14:00:00
"Me encanta este producto, excelente calidad",Positivo,11,5,2023-01-21 15:00:00
"Servicio terrible, muy decepcionado",Positivo,10,0,2023-01-21 16:00:00
"Producto regular, nada especial",Negativo,6,6,2023-01-21 17:00:00
¡Increíble! Lo recomiendo totalmente,Neutral,12,3,2023-01-21 18:00:00
No vale la pena el precio,Negativo,9,4,2023-01-21 19:00:00
